UserID,Username,PasswordHash,Role,Email,CreatedAt,UpdatedAt
19,bethbecker,5oWp(aXQ!r,Sales,michael56@hotmail.com,2021-06-28 12:14:40,2022-03-14 19:32:30
20,adamcardenas,!5YmPuTHYK,Warehouse Manager,tapiasteven@smith.com,2023-03-17 09:33:24,2021-07-18 15:22:23
21,hayeswendy,BMv3Drzg_*,Viewer,nkeller@gmail.com,2024-01-20 04:04:31,2020-01-23 20:46:26
22,wendy61,iZXtbO)J#1,Sales,ucarroll@hotmail.com,2024-05-17 06:17:05,2020-03-31 15:31:20
23,penny05,y(4!DBRU4f,Sales,marilynblackwell@figueroa.com,2022-03-15 03:39:03,2020-10-30 21:05:02
24,moralesthomas,#n6yHo6_bO,Warehouse Manager,yhuffman@fields.com,2020-12-06 21:59:30,2021-01-01 09:40:53
25,robertrhodes,8K9x^zKk)w,Viewer,andre28@odonnell.info,2021-06-22 14:19:20,2023-05-16 07:37:00
26,hinesevan,^A(1Qy6&7L,Warehouse Manager,smithcheryl@yahoo.com,2024-03-30 08:49:06,2024-06-23 05:45:13
27,fergusonjames,&+U9mN#6W6,Warehouse Manager,amy94@hotmail.com,2024-08-04 01:44:39,2024-01-12 06:45:13
28,sflores,m$B42RkgJw,Sales,edward91@yahoo.com,2021-08-16 04:21:57,2023-01-01 18:57:56
29,susan85,)1o7(BbvCt,Viewer,christopher70@wagner.net,2024-06-09 18:12:38,2021-03-02 04:21:38
30,ucortez,h90RWjDou^,Admin,conradmichele@hotmail.com,2024-04-01 00:59:26,2022-12-05 02:55:08
31,william77,%f4BgwX6K_,Sales,colin05@hotmail.com,2023-04-28 20:13:03,2020-06-10 03:48:40
32,tuckerstephanie,eO70KU(yp_,Sales,phall@gmail.com,2023-03-23 17:24:36,2024-08-25 08:58:22
33,cervantesmartha,%4IF+^lr@V,Sales,judyfigueroa@robles.com,2020-09-25 00:57:09,2023-06-28 04:20:14
34,adam98,!dHPD^gg_7,Admin,anthony41@yahoo.com,2022-05-01 07:20:20,2022-07-28 11:52:39
35,mullenjames,^BWURuYJc4,Viewer,valvarado@gmail.com,2022-12-19 11:41:38,2020-08-06 19:08:02
36,marcsmith,W%9SZTw(Iw,Sales,williamsingh@soto.com,2022-02-03 17:10:51,2024-10-13 19:51:32
37,kingkristen,*lP_8CCh&S,Viewer,gregory07@hotmail.com,2020-01-31 08:56:09,2020-03-07 21:59:09
38,zbartlett,e)2BZe$Z7l,Sales,weeksmichele@cummings.com,2023-11-25 17:57:54,2021-04-04 10:09:24
39,amber15,2paBTmo_#7,Viewer,michelle02@lang-mcgee.com,2020-05-05 16:28:45,2023-02-26 21:11:16
40,fthomas,k&A3qKcoU(,Viewer,rodriguezrobert@hughes-decker.org,2024-04-04 21:39:29,2024-03-17 08:37:39
41,amanda74,T6Z6GV8l(L,Viewer,uoliver@hotmail.com,2020-04-25 07:55:34,2022-08-10 11:02:02
42,zanderson,)n47cZgB^m,Viewer,katherineschroeder@morales.com,2022-11-15 19:40:18,2024-07-18 10:18:30
43,michellecunningham,%c)#2hQtR*,Warehouse Manager,natalie74@gmail.com,2021-12-13 08:31:50,2021-04-13 05:16:27
44,anthony86,$5aUKm*ws#,Admin,nholt@hotmail.com,2021-07-04 10:37:33,2021-08-07 21:00:57
45,smithkelly,c2_)g5IcMa,Admin,mathewwilliams@hotmail.com,2023-10-23 05:59:05,2022-06-21 17:59:58
46,matthew21,q$0FBHyZ#c,Sales,schultzjoshua@howe.info,2023-02-12 07:57:47,2022-08-14 15:37:41
47,whitejean,89fPzd1C$6,Sales,joshua04@yahoo.com,2024-06-20 22:58:34,2024-05-12 09:32:12
48,blake28,S7MSvYSi+s,Sales,aaron02@yahoo.com,2024-07-18 06:09:05,2020-09-28 08:29:29
49,ryanerickson,a5DNL97b@o,Warehouse Manager,ryan20@gmail.com,2022-09-01 13:06:40,2022-05-15 19:25:18
50,cjenkins,b4w3VCld_0,Sales,holly89@hotmail.com,2022-04-22 06:56:14,2022-11-10 09:08:19
